/home/pingpong-daniel/match_scores/match1/match1_75.txt, 0000, {'WANG/CHUQIN': (1, 2), 'FAN/ZHENDONG': (3, 1)}
/home/pingpong-daniel/match_scores/match1/match1_75.txt, 0000, {'WANG/CHUQIN': (1, 2), 'FAN/ZHENDONG': (3, 1)}
/home/pingpong-daniel/match_scores/match1/match1_76.txt, 0000, {'WANG/CHUQIN': (1, 3), 'FAN/ZHENDONG': (3, 1)}
/home/pingpong-daniel/match_scores/match1/match1_77.txt, 0008, {'WANG/CHUQIN': (1, 3), 'FAN/ZHENDONG': (3, 2)}
/home/pingpong-daniel/match_scores/match1/match1_78.txt, 0000, {'WANG/CHUQIN': (1, 3), 'FAN/ZHENDONG': (3, 3)}
/home/pingpong-daniel/match_scores/match1/match1_79.txt, 0000, {'WANG/CHUQIN': (1, 4), 'FAN/ZHENDONG': (3, 3)}
/home/pingpong-daniel/match_scores/match1/match1_80.txt, 0024, {'WANG/CHUQIN': (1, 4), 'FAN/ZHENDONG': (3, 4)}
/home/pingpong-daniel/match_scores/match1/match1_81.txt, 0000, {'WANG/CHUQIN': (1, 5), 'FAN/ZHENDONG': (3, 4)}
/home/pingpong-daniel/match_scores/match1/match1_83.txt, 0002, {'WANG/CHUQIN': (1, 8), 'FAN/ZHENDONG': (3, 4)}
/home/pingpong-daniel/match_scores/match1/match1_84.txt, 0000, {'WANG/CHUQIN': (1, 8), 'FAN/ZHENDONG': (3, 5)}
/home/pingpong-daniel/match_scores/match1/match1_86.txt, 0001, {'WANG/CHUQIN': (1, 10), 'FAN/ZHENDONG': (3, 6)}
/home/pingpong-daniel/match_scores/match1/match1_91.txt, 0001, {'WANG/CHUQIN': (2, 2), 'FAN/ZHENDONG': (3, 1)}
/home/pingpong-daniel/match_scores/match1/match1_91.txt, 0001, {'WANG/CHUQIN': (2, 2), 'FAN/ZHENDONG': (3, 1)}
/home/pingpong-daniel/match_scores/match1/match1_92.txt, 0000, {'WANG/CHUQIN': (2, 2), 'FAN/ZHENDONG': (3, 2)}
/home/pingpong-daniel/match_scores/match1/match1_93.txt, 0000, {'WANG/CHUQIN': (2, 2), 'FAN/ZHENDONG': (3, 3)}
/home/pingpong-daniel/match_scores/match1/match1_94.txt, 0000, {'WANG/CHUQIN': (2, 3), 'FAN/ZHENDONG': (3, 3)}
/home/pingpong-daniel/match_scores/match1/match1_99.txt, 0000, {'WANG/CHUQIN': (2, 7), 'FAN/ZHENDONG': (3, 5)}
/home/pingpong-daniel/match_scores/match1/match1_101.txt, 0000, {'WANG/CHUQIN': (2, 7), 'FAN/ZHENDONG': (3, 6)}
/home/pingpong-daniel/match_scores/match1/match1_102.txt, 0000, {'WANG/CHUQIN': (2, 7), 'FAN/ZHENDONG': (3, 7)}
/home/pingpong-daniel/match_scores/match1/match1_103.txt, 0000, {'WANG/CHUQIN': (2, 8), 'FAN/ZHENDONG': (3, 7)}
/home/pingpong-daniel/match_scores/match1/match1_104.txt, 0000, {'WANG/CHUQIN': (2, 9), 'FAN/ZHENDONG': (3, 7)}
/home/pingpong-daniel/match_scores/match1/match1_105.txt, 0000, {'WANG/CHUQIN': (2, 10), 'FAN/ZHENDONG': (3, 7)}
/home/pingpong-daniel/match_scores/match1/match1_106.txt, 0011, {'WANG/CHUQIN': (2, 10), 'FAN/ZHENDONG': (3, 8)}
/home/pingpong-daniel/match_scores/match1/match1_109.txt, 0000, {'WANG/CHUQIN': (3, 1), 'FAN/ZHENDONG': (3, 1)}
/home/pingpong-daniel/match_scores/match1/match1_110.txt, 0000, {'WANG/CHUQIN': (3, 1), 'FAN/ZHENDONG': (3, 2)}
/home/pingpong-daniel/match_scores/match1/match1_112.txt, 0000, {'WANG/CHUQIN': (3, 1), 'FAN/ZHENDONG': (3, 3)}
/home/pingpong-daniel/match_scores/match1/match1_113.txt, 0000, {'WANG/CHUQIN': (3, 1), 'FAN/ZHENDONG': (3, 4)}
/home/pingpong-daniel/match_scores/match1/match1_114.txt, 0000, {'WANG/CHUQIN': (3, 1), 'FAN/ZHENDONG': (3, 5)}
/home/pingpong-daniel/match_scores/match1/match1_116.txt, 0000, {'WANG/CHUQIN': (3, 2), 'FAN/ZHENOONG': (3, 5)}
/home/pingpong-daniel/match_scores/match1/match1_117.txt, 0000, {'WANG/CHUQIN': (3, 2), 'FAN/ZHENDONG': (3, 6)}
/home/pingpong-daniel/match_scores/match1/match1_119.txt, 0000, {'WANG/CHUQIN': (3, 3), 'FAN/ZHENDONG': (3, 7)}
/home/pingpong-daniel/match_scores/match1/match1_119.txt, 0000, {'WANG/CHUQIN': (3, 3), 'FAN/ZHENDONG': (3, 7)}
/home/pingpong-daniel/match_scores/match1/match1_122.txt, 0000, {'WANG/CHUQIN': (3, 4), 'FAN/ZHENDONG': (3, 8)}
/home/pingpong-daniel/match_scores/match1/match1_122.txt, 0000, {'WANG/CHUQIN': (3, 4), 'FAN/ZHENDONG': (3, 8)}
